19-3-6 下午12:59
项目统计

     	     片段	     词汇	 字符（无空白）	 字符（含空白）	#Files	
总共：  	1006522	4257057	36375270	38044126	  6142	
剩余：  	 973565	4153753	35750194	37347858	  6142	
独特：  	 251106	1495192	12745031	13643919	  5825	
剩余独特：	 250293	1486339	12700482	13591289	  5824	


单文件统计：

文件名                                                                                                                                               	  总片段	 剩余片段	 独特片段	剩余独特片段	  总计词汇	  剩余词汇	 独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
4.0.1/d0/d44/structcv_1_1cudev_1_1atan__func_3_01uchar_01_4-members.html                                                                          	   38	   37	    8	     8	   183	   179	   64	    64	    1256	     1232	      393	        393	    1310	     1283	      420	        420	
4.0.1/d0/d44/structcv_1_1cudev_1_1ThreshTruncFunc.html                                                                                            	   66	   62	   20	    20	   259	   248	  105	   105	    2095	     2018	      895	        895	    2190	     2106	      942	        942	
4.0.1/d0/d46/classcv_1_1__InputOutputArray.html                                                                                                   	 1038	  987	  562	   562	  4356	  4195	 2876	  2876	   38201	    37093	    27405	      27405	   39628	    38409	    28579	      28579	
4.0.1/d0/d46/structcv_1_1cudev_1_1acos__func_3_01uchar_01_4-members.html                                                                          	   38	   37	    6	     6	   183	   179	   55	    55	    1256	     1232	      332	        332	    1310	     1283	      354	        354	
4.0.1/d0/d47/classcv_1_1reg_1_1MapAffine-members.html                                                                                             	   87	   86	   35	    35	   374	   370	  197	   197	    2805	     2781	     1642	       1642	    2867	     2840	     1682	       1682	
4.0.1/d0/d48/structcv_1_1cudev_1_1VecTraits_3_01float_01_4.html                                                                                   	   91	   89	   23	    23	   368	   361	  155	   155	    2801	     2750	     1239	       1239	    2930	     2874	     1284	       1284	
4.0.1/d0/d49/tutorial_moments.html                                                                                                                	  371	  367	  261	   258	  1599	  1592	 1229	  1226	   13777	    13739	    10274	      10260	   14650	    14609	    11047	      11033	
4.0.1/d0/d4b/structcv_1_1cudev_1_1MakeVec_3_01ushort_00_013_01_4-members.html                                                                     	   29	   28	    7	     7	   140	   136	   63	    63	     864	      840	      357	        357	     913	      886	      384	        384	
4.0.1/d0/d4c/structcv_1_1cudev_1_1modulus-members.html                                                                                            	   30	   29	    6	     6	   118	   114	   42	    42	     830	      806	      269	        269	     882	      855	      289	        289	
4.0.1/d0/d4d/classcvflann_1_1RadiusResultSet-members.html                                                                                         	   63	   62	   18	    18	   221	   217	   91	    91	    2207	     2183	     1000	       1000	    2276	     2249	     1032	       1032	
4.0.1/d0/d4d/structcv_1_1optflow_1_1GPCMatchingParams.html                                                                                        	   74	   69	   32	    32	   247	   236	  134	   134	    2218	     2140	     1341	       1341	    2312	     2228	     1375	       1375	
4.0.1/d0/d4e/classcv_1_1ocl_1_1Image2D.html                                                                                                       	  156	  149	   69	    69	   513	   488	  311	   311	    3801	     3634	     2401	       2401	    3994	     3809	     2541	       2541	
4.0.1/d0/d4f/classcv_1_1text_1_1ERFilter_1_1Callback.html                                                                                         	   77	   70	   32	    32	   327	   302	  180	   180	    2275	     2106	     1272	       1272	    2419	     2232	     1340	       1340	
4.0.1/d0/d51/classcv_1_1dnn_1_1MaxUnpoolLayer-members.html                                                                                        	  245	  244	   85	    85	  1151	  1147	  551	   551	    8899	     8875	     4711	       4711	    9107	     9080	     4891	       4891	
4.0.1/d0/d51/structcv_1_1bioinspired_1_1SegmentationParameters-members.html                                                                       	   62	   61	   25	    25	   256	   252	  118	   118	    2787	     2763	     1473	       1473	    2823	     2796	     1487	       1487	
4.0.1/d0/d52/classcv_1_1cuda_1_1DisparityBilateralFilter-members.html                                                                             	  153	  152	   31	    31	   639	   635	  189	   189	    5793	     5769	     1926	       1926	    5898	     5871	     1965	       1965	
4.0.1/d0/d52/structcv_1_1cudev_1_1DerivXPtr-members.html                                                                                          	   42	   41	   10	    10	   174	   170	   72	    72	    1304	     1280	      568	        568	    1358	     1331	      592	        592	
4.0.1/d0/d52/structcv_1_1cudev_1_1UnaryTransformPtrSz-members.html                                                                                	   59	   58	   18	    18	   279	   275	  135	   135	    2368	     2344	     1248	       1248	    2452	     2425	     1290	       1290	
